fill	x	y	xmin	xmax	ymin	ymax
#BEB6DC	6330	24	6305	6355	-1	49
#F5F4FA	6380	24	6355	6405	-1	49
#FBF5F4	6380	74	6355	6405	49	99
#EDEBF5	6430	74	6405	6455	49	99
#FBF6F5	6430	124	6405	6455	99	149
#F8EEED	6480	124	6455	6505	99	149
#FDFBFB	6480	174	6455	6505	149	199
#F4F3F9	6530	174	6505	6555	149	199
#E4E0F0	6530	224	6505	6555	199	249
#E1DDEF	6580	224	6555	6605	199	249
#F6EBEA	6580	274	6555	6605	249	299
#E5E1F1	6630	274	6605	6655	249	299
#796FB6	6630	324	6605	6655	299	349
#D2CCE6	6680	324	6655	6705	299	349
#3A3A98	6680	374	6655	6705	349	399
#F5E9E7	6730	374	6705	6755	349	399
#F8EFEE	6730	424	6705	6755	399	449
#F9F2F1	6780	424	6755	6805	399	449
#DAD5EB	6430	24	6405	6455	-1	49
#E3DFF0	6480	74	6455	6505	49	99
#F3E4E2	6530	124	6505	6555	99	149
#ECEAF5	6580	174	6555	6605	149	199
#FEFDFE	6630	224	6605	6655	199	249
#EEECF6	6680	274	6655	6705	249	299
#C1B9DD	6730	324	6705	6755	299	349
#E5C7C4	6780	374	6755	6805	349	399
#F1DFDC	6830	424	6805	6855	399	449
#CCC6E3	6480	24	6455	6505	-1	49
#FEFDFD	6580	124	6555	6605	99	149
#FBFAFD	6680	224	6655	6705	199	249
#E1BEBA	6780	324	6755	6805	299	349
#F8F7FB	6530	74	6505	6555	49	99
#EDEAF5	6630	174	6605	6655	149	199
#F0EEF7	6730	274	6705	6755	249	299
#E3C2BE	6830	374	6805	6855	349	399
#D3CEE7	6530	24	6505	6555	-1	49
#F3F1F8	6580	74	6555	6605	49	99
#F7EEEC	6630	124	6605	6655	99	149
#FAF2F1	6680	174	6655	6705	149	199
#F1E0DE	6730	224	6705	6755	199	249
#DDD9ED	6780	274	6755	6805	249	299
#EBD2CF	6830	324	6805	6855	299	349
#EAD1CE	6880	374	6855	6905	349	399
#EFECF6	6580	24	6555	6605	-1	49
#F4F3F9	6680	124	6655	6705	99	149
#C4BCDF	6780	224	6755	6805	199	249
#DBD6EB	6630	74	6605	6655	49	99
#E7E3F2	6730	174	6705	6755	149	199
#DAD5EB	6830	274	6805	6855	249	299
#C9C2E2	6880	324	6855	6905	299	349
#E0DCEE	6630	24	6605	6655	-1	49
#F4F2F9	6680	74	6655	6705	49	99
#F4E7E5	6730	124	6705	6755	99	149
#D3CDE7	6780	174	6755	6805	149	199
#C3BBDE	6830	224	6805	6855	199	249
#E5E2F1	6880	274	6855	6905	249	299
#998EC7	6930	324	6905	6955	299	349
#D7D1E9	6680	24	6655	6705	-1	49
#F1E0DD	6780	124	6755	6805	99	149
#F7EDEC	6880	224	6855	6905	199	249
#FAF9FC	6730	74	6705	6755	49	99
#DCD8EC	6830	174	6805	6855	149	199
#E6E2F1	6930	274	6905	6955	249	299
#D9D4EA	6730	24	6705	6755	-1	49
#F9F8FC	6780	74	6755	6805	49	99
#FBF7F6	6830	124	6805	6855	99	149
#E5E2F1	6880	174	6855	6905	149	199
#F5E7E5	6930	224	6905	6955	199	249
#D2CDE7	6980	274	6955	7005	249	299
#E0DBEE	6780	24	6755	6805	-1	49
#EFEDF6	6880	124	6855	6905	99	149
#F8F7FB	6830	74	6805	6855	49	99
#E6E3F2	6930	174	6905	6955	149	199
#E6E2F1	6980	224	6955	7005	199	249
#F5F4FA	6830	24	6805	6855	-1	49
#E2DDEF	6880	74	6855	6905	49	99
#FEFCFC	6930	124	6905	6955	99	149
#E4E0F0	6980	174	6955	7005	149	199
#D5D0E8	7030	224	7005	7055	199	249
#D7D1E9	6880	24	6855	6905	-1	49
#FFFFFF	6980	124	6955	7005	99	149
#F8F7FB	6930	74	6905	6955	49	99
#F5F4FA	7030	174	7005	7055	149	199
#C8C1E1	6930	24	6905	6955	-1	49
#F6F5FA	6980	74	6955	7005	49	99
#FCF7F7	7030	124	7005	7055	99	149
#E9E6F3	7080	174	7055	7105	149	199
#C1B9DD	6980	24	6955	7005	-1	49
#F1DFDC	7080	124	7055	7105	99	149
#F0EEF7	7030	74	7005	7055	49	99
#FBF5F5	7030	24	7005	7055	-1	49
#ECD6D3	7080	74	7055	7105	49	99
#E5C7C3	7130	124	7105	7155	99	149
#CDC6E4	7080	24	7055	7105	-1	49
#E6C9C5	7130	74	7105	7155	49	99
#E3E0F0	7130	24	7105	7155	-1	49
#F7F6FB	7180	74	7155	7205	49	99
#F5F4FA	7180	24	7155	7205	-1	49
#D1CBE6	7230	24	7205	7255	-1	49
