group	fill	clickSelects
1	#FFFFFF	150
2	#FFFFFF	738
3	#FFFFFF	738
4	#FFFFFF	150
5	#FFFFFF	150
6	#FFFFFF	2
7	#FFFFFF	2
8	#FFFFFF	2
9	#FFFFFF	2
10	#FFFFFF	2
11	#FFFFFF	2
12	#FFFFFF	2
13	#FFFFFF	2
14	#FFFFFF	150
15	#FFFFFF	2
16	#FFFFFF	2
17	#FFFFFF	2
18	#FFFFFF	2
19	#FFFFFF	2
20	#FFFFFF	2
21	#FFFFFF	2
22	#FFFFFF	2
23	#FFFFFF	2
24	#FFFFFF	2
25	#FFFFFF	150
26	#FFFFFF	144
27	#FFFFFF	144
28	#FFFFFF	144
29	#FFFFFF	2
30	#FFFFFF	2
31	#FFFFFF	2
32	#FFFFFF	2
33	#FFFFFF	2
34	#FFFFFF	2
35	#FFFFFF	2
36	#FFFFFF	150
37	#FFFFFF	2
38	#FFFFFF	2
39	#FFFFFF	2
40	#FFFFFF	2
41	#FFFFFF	2
42	#FFFFFF	2
43	#FFFFFF	2
44	#FFFFFF	2
45	#FFFFFF	2
46	#FFFFFF	150
47	#FFFFFF	150
48	#FFFFFF	150
49	#FFFFFF	150
50	#FFFFFF	150
52	#FFFFFF	738
53	#FFFFFF	150
54	#FFFFFF	150
55	#FFFFFF	150
56	#FFFFFF	150
57	#FFFFFF	150
58	#FFFFFF	2
59	#FFFFFF	2
60	#FFFFFF	2
61	#FFFFFF	2
62	#FFFFFF	2
63	#FFFFFF	2
64	#FFFFFF	150
65	#FFFFFF	2
66	#FFFFFF	2
67	#FFFFFF	2
68	#FFFFFF	2
69	#FFFFFF	2
70	#FFFFFF	2
71	#FFFFFF	2
72	#FFFFFF	2
73	#FFFFFF	2
74	#FFFFFF	2
75	#FFFFFF	150
76	#FFFFFF	144
77	#FFFFFF	144
78	#FFFFFF	2
79	#FFFFFF	2
80	#FFFFFF	2
81	#FFFFFF	2
82	#FFFFFF	2
83	#FFFFFF	2
84	#FFFFFF	2
85	#FFFFFF	2
86	#FFFFFF	150
87	#FFFFFF	2
88	#FFFFFF	2
89	#FFFFFF	2
90	#FFFFFF	2
91	#FFFFFF	2
92	#FFFFFF	2
93	#FFFFFF	2
94	#FFFFFF	2
95	#FFFFFF	2
97	#FFFFFF	150
98	#FFFFFF	150
99	#FFFFFF	150
100	#FFFFFF	150
101	#FFFFFF	150
102	#FFFFFF	738
103	#FFFFFF	150
104	#FFFFFF	150
105	#FFFFFF	150
106	#FFFFFF	150
107	#FFFFFF	150
108	#FFFFFF	150
109	#FFFFFF	2
110	#FFFFFF	2
111	#FFFFFF	2
112	#FFFFFF	2
113	#FFFFFF	2
114	#FFFFFF	2
115	#FFFFFF	150
116	#FFFFFF	2
117	#FFFFFF	2
118	#FFFFFF	2
119	#FFFFFF	2
120	#FFFFFF	2
121	#FFFFFF	2
122	#FFFFFF	2
123	#FFFFFF	2
124	#FFFFFF	2
125	#FFFFFF	2
126	#FFFFFF	150
127	#FFFFFF	144
128	#FFFFFF	2
129	#FFFFFF	2
130	#FFFFFF	2
131	#FFFFFF	2
132	#FFFFFF	2
133	#FFFFFF	2
134	#FFFFFF	2
135	#FFFFFF	2
136	#FFFFFF	2
137	#FFFFFF	150
138	#FFFFFF	2
139	#FFFFFF	2
140	#FFFFFF	2
141	#FFFFFF	2
142	#FFFFFF	2
143	#FFFFFF	2
144	#FFFFFF	2
145	#FFFFFF	2
146	#FFFFFF	2
147	#FFFFFF	150
148	#FFFFFF	150
149	#FFFFFF	150
150	#FFFFFF	150
151	#FFFFFF	2
153	#FFFFFF	150
154	#FFFFFF	150
155	#FFFFFF	318
156	#FFFFFF	2
157	#FFFFFF	318
158	#FFFFFF	318
159	#FFFFFF	2
160	#FFFFFF	2
161	#FFFFFF	2
162	#FFFFFF	1174
163	#FFFFFF	1174
164	#FFFFFF	2
165	#FFFFFF	150
166	#FFFFFF	2
167	#FFFFFF	1174
168	#FFFFFF	1174
169	#FFFFFF	2
170	#FFFFFF	2
171	#FFFFFF	2
172	#FFFFFF	2
173	#FFFFFF	2
