group	x	y	clickSelects	showSelected1
2924	-5.25	-0.25	28	6350,0
2924	-5.25	0.25	28	6350,0
2924	4.25	9.75	28	6350,0
2924	4.75	9.75	28	6350,0
2924	4.75	0.25	28	6350,0
2924	4.25	-0.25	28	6350,0
2924	-5.25	-0.25	28	6350,0
2924	-45.25	9.75	28	6400,0
2924	-45.25	10.25	28	6400,0
2924	-6.25	49.25	28	6400,0
2924	5.25	49.25	28	6400,0
2924	5.25	40.75	28	6400,0
2924	3.75	40.75	28	6400,0
2924	2.25	42.25	28	6400,0
2924	2.25	42.75	28	6400,0
2924	3.25	43.75	28	6400,0
2924	3.25	44.25	28	6400,0
2924	2.75	44.75	28	6400,0
2924	2.75	45.25	28	6400,0
2924	3.25	45.75	28	6400,0
2924	3.25	46.25	28	6400,0
2924	2.75	46.75	28	6400,0
2924	2.25	46.75	28	6400,0
2924	2.25	45.75	28	6400,0
2924	-0.25	43.25	28	6400,0
2924	-0.25	42.75	28	6400,0
2924	0.25	42.25	28	6400,0
2924	0.25	41.75	28	6400,0
2924	-0.75	40.75	28	6400,0
2924	-0.75	40.25	28	6400,0
2924	-0.25	39.75	28	6400,0
2924	0.25	39.75	28	6400,0
2924	0.75	40.25	28	6400,0
2924	1.25	40.25	28	6400,0
2924	1.25	39.75	28	6400,0
2924	0.75	39.25	28	6400,0
2924	0.75	38.75	28	6400,0
2924	2.25	37.25	28	6400,0
2924	3.25	37.25	28	6400,0
2924	3.25	36.75	28	6400,0
2924	2.75	36.25	28	6400,0
2924	2.75	35.75	28	6400,0
2924	4.25	34.25	28	6400,0
2924	5.25	34.25	28	6400,0
2924	5.25	33.75	28	6400,0
2924	4.25	32.75	28	6400,0
2924	3.75	32.75	28	6400,0
2924	3.25	33.25	28	6400,0
2924	2.25	33.25	28	6400,0
2924	0.75	34.75	28	6400,0
2924	-0.25	34.75	28	6400,0
2924	-0.75	35.25	28	6400,0
2924	-1.25	35.25	28	6400,0
2924	-1.25	34.75	28	6400,0
2924	0.75	32.75	28	6400,0
2924	1.75	32.75	28	6400,0
2924	2.25	32.25	28	6400,0
2924	2.25	31.25	28	6400,0
2924	2.75	30.75	28	6400,0
2924	2.75	30.25	28	6400,0
2924	2.25	30.25	28	6400,0
2924	1.75	30.75	28	6400,0
2924	0.75	30.75	28	6400,0
2924	0.75	31.75	28	6400,0
2924	0.25	31.75	28	6400,0
2924	-0.75	30.75	28	6400,0
2924	-0.75	29.25	28	6400,0
2924	-0.25	28.75	28	6400,0
2924	-0.25	27.75	28	6400,0
2924	0.25	27.25	28	6400,0
