group	label	showSelected1
1	Cluster 26: 1805/4444 pixels shown, logFC -4.6 to 4.5, log10(p) 0.0 to 3.0	26
1	Cluster 69: 18/6358 pixels shown, logFC -3.8 to 4.1, log10(p) 0.0 to 3.2	69
1	Cluster 82: 118/1019 pixels shown, logFC -4.0 to 4.5, log10(p) 0.0 to 2.5	82
1	Cluster 141: 662/2190 pixels shown, logFC -4.3 to 4.1, log10(p) 0.0 to 3.4	141
1	Cluster 151: 214/1422 pixels shown, logFC -4.4 to 4.1, log10(p) 0.0 to 2.6	151
1	Cluster 191: 158/209 pixels shown, logFC -3.5 to 3.6, log10(p) 0.0 to 2.4	191
1	Cluster 220: 134/383 pixels shown, logFC -4.2 to 1.6, log10(p) 0.0 to 2.9	220
1	Cluster 307: 341/620 pixels shown, logFC -4.3 to 2.1, log10(p) 0.0 to 3.6	307
1	Cluster 308: 10/14 pixels shown, logFC -3.5 to 0.6, log10(p) 0.0 to 1.2	308
1	Cluster 316: 94/718 pixels shown, logFC -4.4 to 2.1, log10(p) 0.0 to 2.7	316
1	Cluster 418: 56/56 pixels shown, logFC -0.6 to 3.6, log10(p) 0.0 to 1.4	418
1	Cluster 450: 159/159 pixels shown, logFC -4.0 to 2.8, log10(p) 0.0 to 2.6	450
1	Cluster 456: 296/296 pixels shown, logFC -3.8 to 1.6, log10(p) 0.0 to 2.2	456
1	Cluster 637: 16/16 pixels shown, logFC 0.1 to 3.6, log10(p) 0.0 to 1.4	637
1	Cluster 805: 6/6 pixels shown, logFC 1.4 to 4.1, log10(p) 0.5 to 1.9	805
1	Cluster 833: 22/26 pixels shown, logFC 0.1 to 3.6, log10(p) 0.0 to 1.4	833
1	Cluster 900: 146/149 pixels shown, logFC -3.5 to 1.8, log10(p) 0.0 to 1.9	900
1	Cluster 989: 6/7 pixels shown, logFC 0.9 to 4.1, log10(p) 0.2 to 1.9	989
1	Cluster 1105: 34/34 pixels shown, logFC -1.6 to 3.6, log10(p) 0.0 to 2.0	1105
1	Cluster 1107: 510/510 pixels shown, logFC -2.2 to 3.6, log10(p) 0.0 to 2.7	1107
1	Cluster 1307: 23/23 pixels shown, logFC -0.5 to 3.3, log10(p) 0.0 to 1.8	1307
1	Cluster 1335: 1/1 pixels shown, logFC 5.1 to 5.1, log10(p) 3.6 to 3.6	1335
1	Cluster 1448: 44/48 pixels shown, logFC -1.6 to 4.1, log10(p) 0.0 to 1.9	1448
1	Cluster 1549: 4/4 pixels shown, logFC -3.8 to -2.6, log10(p) 0.7 to 1.5	1549
