fill	x	y	xmin	xmax	ymin	ymax
#919191	2.75	2	2.625	2.875	1.875	2.125
#FFFFFF	4	3.75	3.875	4.125	3.625	3.875
#919191	3	2	2.875	3.125	1.875	2.125
#FFFFFF	3.75	3.5	3.625	3.875	3.375	3.625
#565656	2.25	1	2.125	2.375	0.875	1.125
#ADADAD	3.5	2	3.375	3.625	1.875	2.125
#6A6A6A	2.5	1	2.375	2.625	0.875	1.125
#2E2E2E	1.75	0	1.625	1.875	-0.125	0.125
#A4A4A4	3.5	2.25	3.375	3.625	2.125	2.375
#5A5A5A	2.25	0	2.125	2.375	-0.125	0.125
#969696	2.75	1.5	2.625	2.875	1.375	1.625
#B8B8B8	2.5	1.5	2.375	2.625	1.375	1.625
#FFFFFF	4	3	3.875	4.125	2.875	3.125
#646464	2.5	0	2.375	2.625	-0.125	0.125
#6A6A6A	2.75	1	2.625	2.875	0.875	1.125
#1E1E1E	1.5	0	1.375	1.625	-0.125	0.125
#969696	3	1.5	2.875	3.125	1.375	1.625
#DBDBDB	3.75	2.25	3.625	3.875	2.125	2.375
#DBDBDB	3.75	3	3.625	3.875	2.875	3.125
#A4A4A4	2.5	2	2.375	2.625	1.875	2.125
#FFFFFF	3.25	1	3.125	3.375	0.875	1.125
#393939	2	0	1.875	2.125	-0.125	0.125
#000000	1	0	0.875	1.125	-0.125	0.125
#DBDBDB	4	3.5	3.875	4.125	3.375	3.625
#838383	3.25	2	3.125	3.375	1.875	2.125
#FFFFFF	4.25	3.5	4.125	4.375	3.375	3.625
#FFFFFF	4.5	4	4.375	4.625	3.875	4.125
#DBDBDB	4	3.25	3.875	4.125	3.125	3.375
#4E4E4E	1.75	1	1.625	1.875	0.875	1.125
#DBDBDB	3.25	2.25	3.125	3.375	2.125	2.375
#FFFFFF	3.75	3.25	3.625	3.875	3.125	3.375
#B8B8B8	3.25	1.5	3.125	3.375	1.375	1.625
#555555	2	1	1.875	2.125	0.875	1.125
#969696	2.75	0	2.625	2.875	-0.125	0.125
#9D9D9D	3	1	2.875	3.125	0.875	1.125
#B8B8B8	3.5	2.5	3.375	3.625	2.375	2.625
#ADADAD	2.25	2	2.125	2.375	1.875	2.125
#FFFFFF	4.25	3.75	4.125	4.375	3.625	3.875
#0D0D0D	1.25	0	1.125	1.375	-0.125	0.125
#B8B8B8	2.25	1.5	2.125	2.375	1.375	1.625
#505050	1.5	1	1.375	1.625	0.875	1.125
#ADADAD	2	1.5	1.875	2.125	1.375	1.625
#C6C6C6	3.75	2.5	3.625	3.875	2.375	2.625
#FFFFFF	3.75	3.75	3.625	3.875	3.625	3.875
#FFFFFF	2	2	1.875	2.125	1.875	2.125
#DBDBDB	1.5	2	1.375	1.625	1.875	2.125
#C6C6C6	1.75	2	1.625	1.875	1.875	2.125
#525252	1.25	1	1.125	1.375	0.875	1.125
#ADADAD	1.75	1.5	1.625	1.875	1.375	1.625
#101010	0.5	0	0.375	0.625	-0.125	0.125
#FFFFFF	2.25	2.25	2.125	2.375	2.125	2.375
#FFFFFF	2.75	2.5	2.625	2.875	2.375	2.625
#535353	1	1	0.875	1.125	0.875	1.125
#010101	0.75	0	0.625	0.875	-0.125	0.125
#717171	0.75	1	0.625	0.875	0.875	1.125
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
#2A2A2A	0.25	0	0.125	0.375	-0.125	0.125
#8C8C8C	0.5	1	0.375	0.625	0.875	1.125
#494949	0	0	-0.125	0.125	-0.125	0.125
#FFFFFF	1.25	1.5	1.125	1.375	1.375	1.625
#FFFFFF	1.5	1.5	1.375	1.625	1.375	1.625
#C6C6C6	0.25	1	0.125	0.375	0.875	1.125
#FFFFFF	0.75	1.5	0.625	0.875	1.375	1.625
#FFFFFF	1	1.5	0.875	1.125	1.375	1.625
